# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
100 12.1549 -12.3045
200 8.9861 -8.82157
300 7.88272 -8.32736
400 13.296 -11.6343
500 14.4651 -16.133
600 7.86831 -8.36415
700 6.88616 -6.03286
800 14.2344 -13.6356
900 13.1402 -15.8553
1000 8.77323 -5.80932
1100 10.4238 -9.0314
1200 12.2035 -13.3575
1300 9.51145 -13.9978
1400 11.8984 -9.78061
1500 11.6576 -6.31007
1600 11.0173 -12.8634
1700 10.5447 -16.0641
1800 8.63337 -8.05276
1900 13.1641 -7.05738
2000 13.2016 -16.2426
2100 7.70798 -12.3465
2200 9.03422 -6.39501
2300 16.3512 -9.99741
2400 10.6987 -15.1418
2500 7.83356 -11.3333
2600 10.8256 -9.95553
2700 12.186 -6.73613
2800 12.8747 -15.2479
2900 12.6173 -12.8938
3000 6.37174 -8.79003
3100 11.4517 -8.24228
3200 14.4744 -15.7251
3300 10.8358 -11.5853
3400 8.06699 -9.88598
3500 13.4152 -6.8242
3600 9.45697 -13.0229
3700 13.4512 -15.9629
3800 9.62523 -11.2347
3900 10.6179 -2.99484
4000 10.5325 -15.4549
4100 14.3486 -14.3395
4200 9.94802 -8.45064
4300 10.8698 -7.89715
4400 8.43356 -13.1326
4500 11.8872 -14.5501
4600 13.3292 -10.9915
4700 11.9791 -5.20015
4800 7.60078 -10.7207
4900 11.2826 -17.1337
5000 12.8847 -12.2696
5100 11.3644 -5.48484
5200 8.88655 -10.6906
5300 11.2911 -16.4251
5400 13.8823 -9.30999
5500 9.91008 -7.92945
5600 10.0046 -10.895
5700 10.2843 -15.4568
5800 11.9874 -10.0539
5900 12.3297 -10.7776
6000 11.7313 -7.43808
6100 7.49599 -14.0924
6200 16.8179 -13.4398
6300 7.74307 -8.99403
6400 9.85209 -7.39739
6500 12.3861 -18.0776
6600 14.096 -8.51922
6700 8.19239 -10.0994
6800 11.8745 -9.53354
6900 9.29711 -14.3185
7000 13.7084 -11.7281
7100 9.71288 -12.6785
7200 10.6493 -3.69867
7300 11.4225 -14.4741
7400 14.3243 -13.0143
7500 5.69555 -10.5496
7600 12.3271 -7.35192
7700 11.7106 -14.7127
7800 12.9819 -10.0932
7900 9.6648 -12.176
8000 10.7498 -8.30738
8100 8.7338 -11.0245
8200 15.9408 -14.5255
8300 9.44925 -12.1916
8400 7.24883 -5.88642
8500 13.6844 -12.2364
8600 14.8136 -12.4482
8700 7.8618 -11.2649
8800 10.4467 -10.9968
8900 10.8683 -10.2464
9000 12.5974 -10.9815
9100 13.2815 -13.3223
9200 8.47631 -10.7022
9300 8.03061 -7.93922
9400 15.0098 -14.1732
9500 12.7827 -12.7509
9600 6.1894 -8.18348
9700 12.2699 -10.6039
9800 13.7173 -11.8919
9900 10.4992 -10.5287
10000 9.79218 -12.3052
10100 11.4153 -9.94693
10200 10.923 -10.1155
10300 13.0007 -11.7262
10400 10.1906 -13.4676
10500 8.17928 -9.22195
10600 12.601 -10.3954
10700 13.884 -12.6246
10800 8.09898 -11.8822
10900 8.87096 -10.4663
11000 14.2013 -9.53039
11100 12.8288 -9.43713
11200 9.473 -13.8471
11300 9.64484 -12.2967
11400 10.464 -8.69731
11500 13.1897 -10.1561
11600 12.0837 -13.0183
11700 9.50523 -11.4852
11800 10.3755 -9.76669
11900 11.959 -10.5174
12000 10.5786 -13.2105
12100 10.8905 -11.1547
12200 10.8785 -8.45214
12300 11.0067 -9.79037
12400 12.0795 -14.2421
12500 10.5362 -10.9253
12600 8.81325 -8.69244
12700 11.9526 -11.9975
12800 12.4397 -12.2427
12900 11.7528 -9.74547
13000 9.18251 -11.0342
13100 9.43962 -11.6919
13200 13.101 -11.8454
13300 12.7998 -10.5783
13400 8.48056 -8.12612
13500 10.7691 -12.1685
13600 12.967 -12.8687
13700 10.0203 -9.90357
13800 9.64748 -9.07978
13900 10.2926 -13.0079
14000 13.3153 -12.139
14100 11.5425 -8.55326
14200 10.6531 -10.1807
14300 8.43648 -13.0914
14400 11.5622 -12.5203
14500 12.8638 -10.5063
14600 11.134 -7.53659
14700 8.79984 -13.245
14800 13.3725 -12.4885
14900 11.0736 -9.59749
15000 10.9478 -9.06281
15100 7.83549 -14.3349
15200 12.2554 -10.3647
15300 13.1847 -10.3587
15400 13.017 -8.74313
15500 6.79555 -12.5213
15600 10.3657 -12.4356
15700 12.2625 -12.3062
15800 13.5063 -8.2302
15900 8.13055 -11.869
16000 11.2997 -9.9896
16100 11.4973 -11.5432
16200 12.9122 -10.7344
16300 8.08466 -13.5671
16400 10.0808 -8.38252
16500 12.3188 -11.1881
16600 14.1877 -11.1813
16700 7.35359 -11.5033
16800 11.3159 -9.9874
16900 11.3925 -12.4599
17000 10.9249 -10.3355
17100 9.83638 -12.0749
17200 12.1773 -9.22982
17300 11.3147 -9.08404
17400 11.5338 -13.0704
17500 9.70197 -12.313
17600 9.82827 -8.88758
17700 12.915 -11.5482
17800 10.5307 -11.9427
17900 8.75707 -10.0353
18000 13.9422 -10.5547
18100 12.0094 -11.0036
18200 8.75034 -10.7819
18300 8.98749 -13.3273
18400 13.9104 -9.78686
18500 12.6756 -9.51243
18600 9.67249 -11.1076
18700 9.10767 -13.5821
18800 12.2134 -9.51934
18900 11.501 -10.9488
19000 10.6528 -12.5757
19100 8.2107 -10.4693
19200 13.127 -8.92764
19300 13.7029 -11.2712
19400 8.34085 -10.989
19500 9.60837 -12.0912
19600 12.8347 -11.9173
19700 11.3355 -7.99003
19800 9.50213 -11.3262
19900 11.8783 -13.8586
20000 11.2604 -10.1469
20100 11.7432 -8.82233
20200 9.46273 -13.5342
20300 11.0779 -11.6651
20400 11.9483 -11.3774
20500 12.5228 -8.43792
20600 7.76104 -11.7713
20700 13.4603 -10.9389
20800 11.1026 -12.6206
20900 10.6233 -8.40582
21000 8.819 -12.8783
21100 14.026 -9.7052
21200 9.94157 -11.7123
21300 11.8781 -9.39033
21400 6.71817 -13.7281
21500 13.5121 -9.08076
21600 11.9311 -12.2587
21700 12.9129 -7.8763
21800 6.56674 -14.6229
21900 13.3259 -9.92222
22000 10.1246 -12.5392
22100 14.0118 -7.90548
22200 7.20451 -13.2091
22300 12.6728 -8.86574
22400 11.0409 -13.9292
22500 13.2524 -8.70099
22600 6.36713 -12.4487
22700 13.0694 -9.45115
22800 10.9684 -13.1383
22900 12.1376 -8.83768
23000 9.06626 -13.0603
23100 11.5973 -8.50339
23200 10.3865 -10.7729
